ind,X,Y,Direction,Score,Aim Time,10.0,S1,S2,DA,10a.0
1,256,239,South-East,9,4.5,0,0.0,0.0,0.0,0
1,255,239,South-East,9,13.3,0,0.0,0.0,0.0,0
